Gene,P.Value,Log FC,expression,CC
CD99,0.0125942,0.63692497,Down regulated,122394733
LEPR,0.0126033,0.27073374,Down regulated,
LUM,0.0126421,0.39227559,Down regulated,728358
NUDC,0.0126711,0.32494398,Down regulated,113455421
RAB13,0.0126834,0.75331604,Down regulated,111240474
SLC5A3,0.0127415,0.95747331,Down regulated,
NAP1L1,0.0128848,0.36877922,Down regulated,283652
NEDD1,0.0129282,0.30805242,Down regulated,113455421
SORD,0.012956,0.38316032,Down regulated,111240474
PLIN2,0.0130413,0.52646698,Down regulated,115482686
DVL1,0.0130798,0.31936885,Down regulated,111240474
DKK3,0.0131366,0.44513647,Down regulated,
MAPK4,0.0131955,0.70915836,Down regulated,115482686
C1R,0.0132384,0.66947288,Down regulated,113455421
CALHM2,0.0133103,0.52972396,Down regulated,
SH3BGR,0.0133107,0.39282195,Down regulated,
CKS1B,0.0133177,0.27703013,Down regulated,113455421
ZC3HAV1,0.0133398,0.53769454,Down regulated,115482686
RPL31,0.0133924,0.22230547,Down regulated,122394733
SEC14L1,0.013457,0.31184916,Down regulated,113455421
PINK1,0.0136415,0.36121067,Down regulated,115482686
TMTC1,0.0136613,0.44159283,Down regulated,111089941
LYPD1,0.0136794,0.14642681,Down regulated,
ACTA2,0.0136881,0.7524007,Down regulated,100506658
SOD1,0.0137603,0.29955254,Down regulated,100506658
DNHD1,0.0138055,0.17562562,Down regulated,113455421
ZBTB1,0.0138592,0.48706275,Down regulated,115482686
PHF15,0.0138599,0.37439863,Down regulated,
HSP90AB1,0.0138798,0.73820233,Down regulated,100506658
CYP1B1,0.0140037,0.40999105,Down regulated,115482686
RCN1,0.01401,0.54516763,Down regulated,111089941
RELA,0.0140333,0.34177294,Down regulated,115482686
ABLIM1,0.0140634,0.50716811,Down regulated,246176
TXNDC5,0.0140638,0.37520949,Down regulated,111089941
ADPRHL2,0.0140751,0.40674055,Down regulated,
MGAT1,0.0140824,0.38976862,Down regulated,111216276
BAG3,0.0141031,1.13809279,Down regulated,100820829
BAD,0.0141165,0.26397434,Down regulated,111240474
P4HA2,0.014147,0.87462353,Down regulated,111089941
SP5,0.0141654,0.37503133,Down regulated,115482686
SRPX,0.0141706,0.59759973,Down regulated,728358
PC,0.0141978,0.25318545,Down regulated,122394733
LOC729444,0.014211,0.10681683,Down regulated,
ZFP106,0.0142263,0.40782092,Down regulated,
DCLRE1B,0.0143813,0.23414865,Down regulated,113455421
CD40,0.0144142,0.16698979,Down regulated,113455421
MRPL36,0.014479,0.26840749,Down regulated,
UBE2L6,0.0145114,0.41162611,Down regulated,115482686
PYCR1,0.0145133,0.4512553,Down regulated,
HSP90AB5P,0.0145363,0.72434817,Down regulated,
SLC22A17,0.0146524,0.45653779,Down regulated,
LEPR,0.0146896,0.26196164,Down regulated,
MICB,0.0147074,0.20911029,Down regulated,
NUDT1,0.014719,0.27562555,Down regulated,115482686
HSPA1L,0.014733,0.55975148,Down regulated,115482686
LOC100129846,0.0147546,0.33329728,Down regulated,
NPR2,0.0148778,0.35101415,Down regulated,
DTNBP1,0.0148953,0.26117259,Down regulated,115482686
CRYAB,0.0149092,0.40508915,Down regulated,100506658
SSBP2,0.0149168,0.26789538,Down regulated,115482686
SSR2,0.0149508,0.30810536,Down regulated,111089941
RPL29,0.0149763,0.38175769,Down regulated,122394733
RPS21,0.0150096,0.25069934,Down regulated,64968
SNX2,0.0150643,0.31421181,Down regulated,100506658
SMCR7L,0.0151224,0.27443296,Down regulated,
PECAM1,0.0151367,0.58855474,Down regulated,100506658
REXO2,0.0151447,0.24535505,Down regulated,115482686
TPT1,0.0151519,0.42690293,Down regulated,115482686
FRMD3,0.0151684,0.56214249,Down regulated,
RPL28,0.0152554,0.3274166,Down regulated,122394733
RPL19,0.0152976,0.21186484,Down regulated,122394733
CACYBP,0.0153232,0.81992367,Down regulated,115482686
ANKRD57,0.0153763,0.3007098,Down regulated,
IFITM2,0.0154174,0.59448123,Down regulated,100506658
TMEM11,0.0154863,0.20349992,Down regulated,
RPS19,0.0155005,0.32824571,Down regulated,113455421
ENAH,0.0155377,0.35955705,Down regulated,111240474
UBL5,0.0155855,0.28110073,Down regulated,115482686
C17orf67,0.0156217,0.34729142,Down regulated,
LOC100132006,0.0156359,0.32351904,Down regulated,
LAMC3,0.0156851,0.31726568,Down regulated,401138
RPL13A,0.0158522,0.22212246,Down regulated,100130932
CYB5A,0.0159205,0.25354062,Down regulated,111240474
ZMPSTE24,0.0159475,0.26618228,Down regulated,100506658
LOC100131355,0.0160452,0.33477606,Down regulated,
KRTAP2-4,0.0161211,0.46189529,Down regulated,111240474
LASP1,0.0161687,0.41312003,Down regulated,122394733
CALCRL,0.0162665,0.33340726,Down regulated,111089941
PSAP,0.0162989,0.54224178,Down regulated,728358
NFIB,0.0163161,0.3635484,Down regulated,115482686
ZNF521,0.016341,0.36400135,Down regulated,115482686
KLF14,0.016343,0.16908592,Down regulated,115482686
LAMA4,0.0163713,0.31676197,Down regulated,728358
RPL4,0.0163804,0.22064624,Down regulated,100130932
BMI1,0.0164492,0.39161041,Down regulated,115482686
SLC44A3,0.0165336,0.32248022,Down regulated,111216276
LEPREL4,0.0165388,0.3489358,Down regulated,
SLC12A7,0.0165813,0.54026939,Down regulated,100506658
HSD17B7,0.0165823,0.40106823,Down regulated,
NTAN1,0.0165841,0.27300118,Down regulated,115482686
GNB2L1,0.0165946,0.33230505,Down regulated,
CHMP3,0.0167081,0.24215859,Down regulated,111240474
KIAA1462,0.0167285,0.4291094,Down regulated,
HSD17B7,0.0167361,0.4997522,Down regulated,
RPS21,0.0168745,0.3484461,Down regulated,64968
HSPE1,0.0169014,0.41299312,Down regulated,111216276
ADAM12,0.0169051,0.10159716,Down regulated,113455421
PIRT,0.0169106,0.77932002,Down regulated,
TPM1,0.0169246,0.42575016,Down regulated,246176
MARCH3,0.0169283,0.32214686,Down regulated,
F13A1,0.0169541,0.1219229,Down regulated,728358
SLC39A8,0.0169805,0.35560122,Down regulated,
DCHS1,0.0169838,0.25052767,Down regulated,111216276
ITGB1BP1,0.0170249,0.23009683,Down regulated,115482686
SNX25,0.0170734,0.45508447,Down regulated,
TMIE,0.0172034,0.59321088,Down regulated,
TUBA1C,0.0172303,0.93744758,Down regulated,115482686
TRIM16L,0.0172325,0.38128434,Down regulated,
STAG2,0.0172489,0.32684652,Down regulated,115482686
DTYMK,0.017346,0.22342434,Down regulated,115482686
TLR4,0.0173466,0.64925247,Down regulated,122394733
CAV2,0.0173932,0.37248038,Down regulated,100506658
IL1R1,0.017519,0.34275265,Down regulated,111216276
AKAP8L,0.0175279,0.3299744,Down regulated,100130932
LAMA4,0.017568,0.30093371,Down regulated,728358
ZFR,0.0175703,0.26167726,Down regulated,115482686
RPS27A,0.0176288,0.21994876,Down regulated,115482686
LRP4,0.0179037,0.70461347,Down regulated,
FSTL1,0.0179828,0.59270359,Down regulated,111089941
SMOC2,0.0180071,0.4551527,Down regulated,401138
CNPPD1,0.0180277,0.34691596,Down regulated,115482686
ITM2A,0.01816,0.52533584,Down regulated,
BOK,0.0182103,0.39404748,Down regulated,115482686
TM9SF2,0.0182338,0.52775355,Down regulated,111216276
LOC147093,0.0183621,0.11294255,Down regulated,
SSR1,0.0183727,0.35391553,Down regulated,111089941
FLJ45482,0.0184311,0.3893769,Down regulated,
VPS37D,0.0184312,0.31314885,Down regulated,113455421
LGR4,0.0184492,0.45418137,Down regulated,
MRPL27,0.0184837,0.22813273,Down regulated,
BCDIN3D,0.018581,0.32875697,Down regulated,113455421
FAM115A,0.018584,0.20713529,Down regulated,
ZRSR2,0.0185875,0.33464192,Down regulated,113455421
TAGLN2,0.0186585,0.80159919,Down regulated,111240474
DNAJB6,0.0186759,0.663652,Down regulated,100820829
PPP2R5A,0.0186904,0.33081989,Down regulated,100820829
RALGPS2,0.0187439,0.20129097,Down regulated,122394733
CFH,0.0187812,0.55309222,Down regulated,113455421
TRAM1,0.0187957,0.31967841,Down regulated,111089941
ZNF671,0.0187975,0.4391158,Down regulated,115482686
IPO5,0.018937,0.32720346,Down regulated,115482686
ZNF544,0.0190316,0.3616329,Down regulated,115482686
FRMD3,0.0190481,0.28964768,Down regulated,
EEF1A1,0.0190692,0.3894731,Down regulated,115482686
CC2D1B,0.0190759,0.2626332,Down regulated,115482686
RPLP0,0.0191283,0.33254793,Down regulated,100130932
TAB2,0.0191598,0.44978244,Down regulated,113455421
PCSK5,0.0191701,0.18621274,Down regulated,111216276
LOC340357,0.0193292,0.20708137,Down regulated,
POLR2F,0.0193366,0.23134334,Down regulated,115482686
SELS,0.019339,0.29487484,Down regulated,
RPS29,0.0193783,0.24764441,Down regulated,64968
FLJ42969,0.0194216,0.09278984,Down regulated,
LOC100128498,0.0195206,0.2951454,Down regulated,
MTCH1,0.0195468,0.32679386,Down regulated,111216276
PLOD1,0.019551,0.19645074,Down regulated,111089941
GIMAP6,0.0196964,0.33357071,Down regulated,111240474
C20orf196,0.0197673,0.37753399,Down regulated,
ZSWIM2,0.019786,0.10077292,Down regulated,
C5orf41,0.0197993,0.38606869,Down regulated,
PPIC,0.0198211,0.40375393,Down regulated,122394733
MRPL11,0.0198574,0.22143911,Down regulated,
FBXO8,0.0199762,0.35051969,Down regulated,
RSL24D1,0.0200171,0.40009177,Down regulated,113455421
GDI2,0.0200509,0.27493063,Down regulated,122394733
RPL39,0.0200615,0.35648721,Down regulated,87178
UQCC,0.0201006,0.29469494,Down regulated,
HSPA8,0.0201828,0.49329644,Down regulated,120379
ZNF558,0.0201936,0.28896975,Down regulated,115482686
HNRNPH3,0.0202103,0.39323538,Down regulated,100130932
CD2BP2,0.0202847,0.3704181,Down regulated,115482686
LHFPL3,0.0202868,0.35307711,Down regulated,111216276
BANP,0.0203075,0.44693295,Down regulated,113455421
TJP2,0.0203462,0.39084891,Down regulated,115482686
LY6H,0.0203561,0.91765415,Down regulated,
TRAPPC3,0.0203751,0.30804817,Down regulated,111089941
